Date,Close,Open,High,Low,Volume,Percentage_change
21-Oct-19,387.25,390,393.75,386.5,150.19K,-0.96%
18-Oct-19,391,394,395.75,389.75,122.01K,-0.95%
17-Oct-19,394.75,391.75,397.25,391.5,141.53K,0.77%
16-Oct-19,391.75,392,392.75,387.5,139.68K,-0.38%
15-Oct-19,393.25,397,398.5,392.5,143.68K,-1.13%
14-Oct-19,397.75,401.25,402.5,393.25,170.71K,0.00%
11-Oct-19,397.75,380.75,398.75,380.5,272.44K,4.60%
10-Oct-19,380.25,392.75,395,378.25,297.05K,-3.55%
9-Oct-19,394.25,395.5,397.25,393,140.85K,-0.38%
8-Oct-19,395.75,387.5,396.5,386,200.46K,2.26%
7-Oct-19,387,387.5,387.75,385,100.42K,0.58%
4-Oct-19,384.75,388,389,383.75,116.34K,-1.03%
3-Oct-19,388.75,387,390.75,385.5,125.49K,0.26%
2-Oct-19,387.75,390.5,391.75,385.5,158.92K,-1.21%
1-Oct-19,392.5,386.75,392.75,385.25,227.07K,1.16%
30-Sep-19,388,372,388.25,371.5,337.25K,4.44%
27-Sep-19,371.5,371.25,373,369.75,90.80K,-0.27%
26-Sep-19,372.5,373.5,375.75,368.25,175.42K,-0.47%
25-Sep-19,374.25,375.25,377.5,372.25,119.19K,-0.13%
24-Sep-19,374.75,372,376,370.25,144.29K,0.40%
23-Sep-19,373.25,371.25,374.5,371,100.44K,0.67%
20-Sep-19,370.75,372.75,374.5,369.5,133.00K,-0.54%
19-Sep-19,372.75,371.5,373.75,369.5,117.07K,0.40%
18-Sep-19,371.25,367.75,372,365.75,126.83K,0.88%
17-Sep-19,368,374,374.25,366,154.63K,-1.60%
16-Sep-19,374,372,374.75,367.5,133.44K,5.20%
13-Sep-19,355.5,358.5,358.5,358.5,0.12K,0.28%
12-Sep-19,354.5,349.75,353.75,349.5,0.15K,1.79%
11-Sep-19,348.25,349.75,349.75,344.75,0.33K,-0.07%
10-Sep-19,348.5,344,349.5,344,0.31K,2.27%
9-Sep-19,340.75,343.25,343.25,340,0.94K,-0.51%
6-Sep-19,342.5,347.5,348.25,341.5,1.36K,-1.15%
5-Sep-19,346.5,346.5,349.75,346.5,1.81K,0.14%
4-Sep-19,346,350.5,351,344.5,3.85K,-1.07%
3-Sep-19,349.75,358.75,359,349,5.34K,-2.30%
30-Aug-19,358,359.75,364.5,356.75,11.24K,-0.49%
29-Aug-19,359.75,363,369,357.5,122.79K,-0.83%
28-Aug-19,362.75,357.25,365.5,355.25,172.93K,1.61%
27-Aug-19,357,359,360,356.75,129.89K,-0.42%
26-Aug-19,358.5,358,362,357,122.54K,-0.35%
23-Aug-19,359.75,362.75,363,357.5,169.87K,-0.96%
22-Aug-19,363.25,363,366.5,359,99.25K,0.21%
21-Aug-19,362.5,360,364,357,125.86K,0.83%
20-Aug-19,359.5,366.5,370.25,359.25,89.47K,-1.51%
19-Aug-19,365,367.25,368.25,363.25,78.54K,-1.62%
16-Aug-19,371,361.5,371.25,361.25,104.81K,2.84%
15-Aug-19,360.75,360.25,363.75,358.25,108.78K,0.49%
14-Aug-19,359,366.25,370.5,358.5,185.09K,-1.91%
13-Aug-19,366,379,379,365.5,312.97K,-5.00%
12-Aug-19,385.25,409.75,410,385.25,248.13K,-6.09%
9-Aug-19,410.25,410.75,417,407.25,185.37K,-0.18%
8-Aug-19,411,407.25,412,405.5,184.79K,1.11%
7-Aug-19,406.5,404.75,407.5,400.5,167.53K,0.62%
6-Aug-19,404,405.75,408,400.75,113.07K,-0.31%
5-Aug-19,405.25,400,406.75,391,109.69K,1.44%
2-Aug-19,399.5,394.75,400,393.5,90.36K,1.72%
1-Aug-19,392.75,401.75,403,387.25,145.33K,-1.87%
31-Jul-19,400.25,410.75,413.75,400,151.79K,-2.67%
30-Jul-19,411.25,417,417,410.25,81.03K,-1.38%
29-Jul-19,417,413.25,419.5,412,90.11K,0.60%
26-Jul-19,414.5,418.25,419.5,413,120.75K,-0.96%
25-Jul-19,418.5,424,425.75,418,172.28K,-1.30%
24-Jul-19,424,425,430.5,421.5,93.16K,-0.35%
23-Jul-19,425.5,423.75,426.5,418.25,131.11K,0.77%
22-Jul-19,422.25,430.75,432.25,421,110.95K,-1.97%
19-Jul-19,430.75,425.5,434,423.75,114.52K,1.47%
18-Jul-19,424.5,435,436,423.25,156.00K,-2.64%
17-Jul-19,436,435.25,441.5,431.5,125.87K,0.17%
16-Jul-19,435.25,437.75,440.75,429,144.49K,-1.30%
15-Jul-19,441,459.25,460,439.75,164.47K,-1.89%
12-Jul-19,449.5,447.75,457,447.75,0.27K,0.39%
11-Jul-19,447.75,433.25,448,433.25,0.60K,3.11%
10-Jul-19,434.25,430,434.75,428,0.49K,0.58%
9-Jul-19,431.75,437.25,437.75,429.25,0.45K,-1.54%
8-Jul-19,438.5,440.75,442.75,432,2.08K,1.04%
5-Jul-19,434,433,435.5,427,2.13K,0.23%
3-Jul-19,433,417,433.75,417,3.47K,4.72%
2-Jul-19,413.5,412.5,415.5,408.25,6.53K,0.36%
1-Jul-19,412,424.25,424.75,410.25,13.48K,-1.96%
28-Jun-19,420.25,439,455,411,34.51K,-4.49%
27-Jun-19,440,443,445.5,438.5,141.13K,-0.73%
26-Jun-19,443.25,447,447.25,440.75,158.88K,-0.95%
25-Jun-19,447.5,451,453,446.5,158.43K,0.17%
24-Jun-19,446.75,442.25,447.75,440.25,172.09K,1.02%
21-Jun-19,442.25,452,454,441.75,251.09K,-1.72%
20-Jun-19,450,441.5,450.75,436.5,198.63K,2.04%
19-Jun-19,441,449.75,451.75,438.25,193.33K,-1.95%
18-Jun-19,449.75,455.5,458,442.75,221.47K,-1.10%
17-Jun-19,454.75,458.25,464.25,450.5,279.48K,0.39%
14-Jun-19,453,442,457.25,441.75,312.81K,2.49%
13-Jun-19,442,429.75,442.75,429.5,402.15K,2.79%
12-Jun-19,430,427.75,434.5,424,331.36K,0.53%
11-Jun-19,427.75,415,430.25,408.25,360.32K,2.89%
10-Jun-19,415.75,413,416.5,409,279.95K,0.00%
7-Jun-19,415.75,421,423.5,415,227.75K,-1.13%
6-Jun-19,420.5,414.5,421.5,407,279.01K,1.39%
5-Jun-19,414.75,424.25,424.75,412.25,231.86K,-2.47%
4-Jun-19,425.25,435,436,421.25,306.70K,0.24%
3-Jun-19,424.25,426.25,430.75,418.25,288.44K,-0.64%
31-May-19,427,435,437.5,423.25,302.17K,-2.12%
30-May-19,436.25,416.5,436.75,413.25,324.91K,4.18%
29-May-19,418.75,429.25,438,412.25,484.44K,-0.36%
28-May-19,420.25,408,421,407.5,417.68K,3.96%
24-May-19,404.25,390.5,404.75,389.75,299.95K,3.72%
23-May-19,389.75,394,399,387,340.12K,-1.20%
22-May-19,394.5,393.25,396.5,386.25,291.26K,0.06%
21-May-19,394.25,393.25,399,391.25,451.26K,1.35%
20-May-19,389,386,391.5,385.75,358.73K,1.50%
17-May-19,383.25,380,384.75,380,319.50K,1.12%
16-May-19,379,368.75,380.75,368.75,248.51K,2.57%
15-May-19,369.5,369,380,368,336.99K,2.50%
14-May-19,360.5,354.25,360.75,353.5,0.20K,3.74%
13-May-19,347.5,335.5,348.25,335.5,0.29K,1.46%
10-May-19,342.5,346.5,346.5,338.25,0.31K,-0.58%
9-May-19,344.5,350,350,344,0.66K,-3.03%
8-May-19,355.25,356.5,356.5,353.25,0.86K,-0.77%
7-May-19,358,357,359.25,355,1.16K,0.63%
6-May-19,355.75,352.5,356,349,1.71K,-2.00%
3-May-19,363,362.25,363.25,359.5,1.65K,0.28%
2-May-19,362,361,362.5,358.5,4.31K,0.56%
1-May-19,360,353.5,360.5,353.5,8.29K,1.91%
30-Apr-19,353.25,352.25,354,349.25,14.38K,0.36%
29-Apr-19,352,353.25,356,351.25,250.77K,0.21%
26-Apr-19,351.25,347.25,353.5,347,166.75K,1.08%
25-Apr-19,347.5,346,351,342.25,236.88K,0.22%
24-Apr-19,346.75,351,352.5,345.5,241.39K,-1.28%
23-Apr-19,351.25,354.75,355,350.25,194.77K,-0.99%
22-Apr-19,354.75,359,359,354.25,144.71K,-1.05%
19-Apr-19,358.5,358.5,358.5,358.5,-,0.00%
18-Apr-19,358.5,358,359.25,357,102.30K,0.07%
17-Apr-19,358.25,358.25,360,356.75,148.18K,-0.21%
16-Apr-19,359,362.5,362.5,357.25,192.35K,-1.03%
15-Apr-19,362.75,361.25,364.25,361,208.54K,0.48%
12-Apr-19,361,360.25,361.5,358.5,95.87K,0.28%
11-Apr-19,360,361.25,363,358.5,264.73K,-0.48%
10-Apr-19,361.75,360.25,362.75,360,253.30K,0.49%
9-Apr-19,360,359.75,362.25,355.25,275.45K,0.00%
8-Apr-19,360,362.25,363.5,359.5,269.56K,-0.69%
5-Apr-19,362.5,364.5,364.75,360.5,273.06K,-0.75%
4-Apr-19,365.25,362.75,366.25,362.75,159.33K,0.69%
3-Apr-19,362.75,361.25,364.75,360.5,135.85K,0.35%
2-Apr-19,361.5,362.25,363.5,359.25,117.19K,-0.07%
1-Apr-19,361.75,356.5,363,356.5,239.35K,1.47%
29-Mar-19,356.5,373.75,375,356,441.01K,-4.68%
28-Mar-19,374,373.75,374.75,372,105.83K,0.07%
27-Mar-19,373.75,376.75,377,372,127.92K,-0.93%
26-Mar-19,377.25,379.25,380.5,375.5,165.18K,-0.66%
25-Mar-19,379.75,378.75,380.75,376.75,155.85K,0.40%
22-Mar-19,378.25,375.75,380.75,375.5,222.58K,0.53%
21-Mar-19,376.25,371,377.5,370.5,220.23K,1.28%
20-Mar-19,371.5,371.5,372.5,368.75,101.48K,0.07%
19-Mar-19,371.25,372,373.75,367.75,159.38K,-0.07%
18-Mar-19,371.5,374,375.5,370.25,169.24K,-0.47%
15-Mar-19,373.25,369.25,373.75,369,197.27K,3.25%
14-Mar-19,361.5,360.25,363.25,360,0.39K,1.19%
13-Mar-19,357.25,357.25,359.5,355,0.32K,0.21%
12-Mar-19,356.5,353.25,357.75,352.75,0.80K,1.13%
11-Mar-19,352.5,357.5,357.5,353,1.75K,-0.63%
8-Mar-19,354.75,357.75,358.25,354,2.27K,-0.35%
7-Mar-19,356,362.25,362.25,355.75,2.48K,-1.79%
6-Mar-19,362.5,366,366,361,2.92K,-0.96%
5-Mar-19,366,366,367.25,364.5,4.57K,0.27%
4-Mar-19,365,365.25,368,364.5,5.27K,0.27%
1-Mar-19,364,361.75,364,357.5,12.36K,0.55%
28-Feb-19,362,363.75,364.75,361.25,23.51K,-0.48%
27-Feb-19,363.75,366,368.25,362.5,189.22K,-0.68%
26-Feb-19,366.25,370.75,371.25,365.5,242.77K,-1.15%
25-Feb-19,370.5,377.75,378.5,370,344.71K,-1.27%
22-Feb-19,375.25,374.75,377.75,374.5,316.66K,-0.07%
21-Feb-19,375.5,371,378.5,370.5,257.19K,1.28%
20-Feb-19,370.75,371.5,373.5,368.5,310.67K,0.27%
19-Feb-19,369.75,374.25,376.25,369,230.71K,-1.40%
18-Feb-19,375,374.75,375,374.75,-,0.07%
17-Feb-19,374.75,374.75,374.75,374.75,-,0.00%
15-Feb-19,374.75,374.75,376.5,373,209.10K,0.00%
14-Feb-19,374.75,378.75,379,374,225.29K,-1.06%
13-Feb-19,378.75,377.5,379,376.25,243.88K,0.13%
12-Feb-19,378.25,373.5,378.75,373,291.26K,1.48%
11-Feb-19,372.75,374.5,375,371.75,309.36K,-0.47%
10-Feb-19,374.5,374.25,374.5,374.25,-,0.07%
8-Feb-19,374.25,376.5,381.75,374,340.78K,-0.60%
7-Feb-19,376.5,379.75,380.25,376.25,259.74K,-0.92%
6-Feb-19,380,380.5,380.75,379,145.15K,-0.20%
5-Feb-19,380.75,379.5,381.25,377,171.95K,0.40%
4-Feb-19,379.25,377.75,379.75,376.5,145.83K,0.26%
3-Feb-19,378.25,378.25,378.25,378.25,-,0.00%
1-Feb-19,378.25,376.5,380.75,376.5,151.47K,0.46%
31-Jan-19,376.5,381,381.5,375.75,205.75K,-1.25%
30-Jan-19,381.25,377.75,381.5,377.5,198.90K,1.06%
29-Jan-19,377.25,379.75,380.75,376,187.02K,-0.66%
28-Jan-19,379.75,379.5,381,378,102.14K,0.00%
27-Jan-19,379.75,380,380,379.75,-,-0.13%
25-Jan-19,380.25,377,380.5,376,134.09K,0.86%
24-Jan-19,377,378.75,379.75,375.75,124.11K,-0.46%
23-Jan-19,378.75,379.5,381.75,378,127.61K,-0.07%
22-Jan-19,379,380.75,382.25,376.75,211.43K,-0.39%
20-Jan-19,380.5,380.5,380.5,380.5,-,-0.33%
18-Jan-19,381.75,379.75,383,377.75,191.03K,0.46%
17-Jan-19,380,374,381.5,373.75,207.63K,1.60%
16-Jan-19,374,372.75,375,372.5,164.72K,0.74%
15-Jan-19,371.25,379.5,381,371,251.26K,-1.92%
14-Jan-19,378.5,378.5,381,377,144.74K,0.00%
13-Jan-19,378.5,378.25,378.5,378.25,-,0.07%
11-Jan-19,378.25,377,379.25,376.75,131.82K,0.53%
10-Jan-19,376.25,381.5,382.75,376,181.39K,-1.51%
9-Jan-19,382,380.5,383.5,380.5,192.06K,0.53%
8-Jan-19,380,382.5,384.5,379,172.29K,-0.59%
7-Jan-19,382.25,382.25,384,381.75,110.62K,0.00%
6-Jan-19,382.25,382.75,382.75,382,-,-0.20%
4-Jan-19,383,380,383.5,379.75,178.17K,0.86%
3-Jan-19,379.75,375.5,380.5,374.75,101.46K,1.06%
2-Jan-19,375.75,375.25,377.75,374,104.72K,0.20%
31-Dec-18,375,375.5,377,372.75,91.13K,-0.13%
28-Dec-18,375.5,374.5,377.5,374.5,89.17K,0.27%
27-Dec-18,374.5,373.25,376.5,373.25,96.24K,0.33%
26-Dec-18,373.25,378.25,379.25,372.5,97.15K,-1.19%
24-Dec-18,377.75,378.25,379,375.25,54.84K,-0.20%
21-Dec-18,378.5,375.5,379.5,374.75,138.73K,0.87%
20-Dec-18,375.25,381.75,382.75,375,205.50K,-1.70%
19-Dec-18,381.75,385,385.25,381.5,107.24K,-0.97%
18-Dec-18,385.5,383.75,386.5,383.25,131.88K,0.39%
17-Dec-18,384,384.25,386,383.25,97.62K,1.92%
14-Dec-18,376.75,378,379,374.25,0.36K,0.33%
13-Dec-18,375.5,375,377.5,374,0.23K,-0.20%
12-Dec-18,376.25,375.5,378,375.5,0.63K,0.33%
11-Dec-18,375,373.75,376.5,372.75,1.37K,0.20%
10-Dec-18,374.25,374.25,376,372.75,1.66K,0.07%
7-Dec-18,374,371.75,374.75,371.5,2.24K,0.54%
6-Dec-18,372,374,374.5,369.25,2.30K,-0.60%
5-Dec-18,374.25,373.5,376,372.5,2.09K,0.00%
4-Dec-18,374.25,370,374.25,369.5,2.93K,0.81%
3-Dec-18,371.25,372.75,374,369.5,7.58K,1.30%
30-Nov-18,366.5,360.75,366.75,360.5,17.99K,1.73%
29-Nov-18,360.25,360.5,363,359,186.62K,-0.07%
28-Nov-18,360.5,356.25,361.5,356,221.95K,1.12%
27-Nov-18,356.5,356,358.5,355.5,248.13K,0.14%
26-Nov-18,356,359.5,360.5,355.25,331.20K,-0.84%
23-Nov-18,359,361,361.75,358.75,174.04K,-0.62%
22-Nov-18,361.25,361.25,361.25,361.25,-,-0.14%
21-Nov-18,361.75,361.25,363.25,360,184.08K,0.14%
20-Nov-18,361.25,362.75,363.5,361.25,146.93K,-0.28%
19-Nov-18,362.25,364.75,366.25,361.25,179.46K,-0.69%
16-Nov-18,364.75,367.25,368.75,363.25,180.97K,-0.75%
15-Nov-18,367.5,366.75,371.75,366.5,182.15K,0.14%
14-Nov-18,367,366,368,365.75,121.77K,0.14%
13-Nov-18,366.5,369.5,370.75,365.5,178.86K,-1.28%
12-Nov-18,371.25,369,372.5,368,176.02K,0.41%
9-Nov-18,369.75,372.75,374,368.25,212.42K,-1.00%
8-Nov-18,373.5,372,379,366,432.34K,0.34%
7-Nov-18,372.25,372.25,373.25,371,233.52K,-0.27%
6-Nov-18,373.25,373.75,374.5,372,206.08K,-0.20%
5-Nov-18,374,371,374.25,369.5,191.62K,0.81%
4-Nov-18,371,371,371,371,-,-0.07%
2-Nov-18,371.25,366.25,373,365.25,242.63K,1.23%
1-Nov-18,366.75,363.25,371,363,304.75K,0.96%
31-Oct-18,363.25,364.75,365.25,362.5,163.23K,-0.41%
30-Oct-18,364.75,366.75,368,364.25,137.33K,-0.55%
29-Oct-18,366.75,368,371.5,365.5,142.75K,-0.41%
28-Oct-18,368.25,368.5,368.5,368.25,-,0.14%
26-Oct-18,367.75,361.75,369.75,361.75,220.03K,1.87%
25-Oct-18,361,367.75,368.25,360.5,262.81K,-1.97%
24-Oct-18,368.25,369.5,369.75,367.75,114.26K,-0.54%
23-Oct-18,370.25,369.25,372.5,368,136.63K,0.20%
22-Oct-18,369.5,365.5,370.5,365.5,140.54K,1.03%
21-Oct-18,365.75,365.5,365.75,365.5,-,-0.34%
19-Oct-18,367,370.5,371,366,165.33K,-1.01%
18-Oct-18,370.75,373,373.25,369.5,137.27K,-0.94%
17-Oct-18,374.25,375,376.25,373.25,106.45K,-0.27%
16-Oct-18,375.25,377.25,377.5,373.5,185.90K,-0.79%
15-Oct-18,378.25,373,378.5,371.75,227.94K,1.34%
14-Oct-18,373.25,373,373.25,373,-,-0.13%
12-Oct-18,373.75,369,374,368.5,185.82K,1.22%
11-Oct-18,369.25,362,373,360.25,233.12K,1.79%
10-Oct-18,362.75,364.5,365.25,362,121.04K,-0.48%
9-Oct-18,364.5,366.5,368,363.75,119.57K,-0.55%
8-Oct-18,366.5,368.5,369.5,364.25,122.01K,-0.61%
7-Oct-18,368.75,369,369,368.5,-,0.14%
5-Oct-18,368.25,367.5,369.5,363,204.82K,0.20%
4-Oct-18,367.5,364.75,368.5,364.75,130.83K,0.75%
3-Oct-18,364.75,367.75,369,364.5,139.28K,-0.75%
2-Oct-18,367.5,365,369,363.25,206.15K,0.48%
1-Oct-18,365.75,356.75,366.5,356.5,214.37K,2.52%
30-Sep-18,356.75,357,357,356.75,-,0.14%
28-Sep-18,356.25,364.5,366.75,354.5,237.21K,-2.33%
27-Sep-18,364.75,363,365.75,361.25,113.91K,0.48%
26-Sep-18,363,363.5,364.75,361.25,137.90K,-0.21%
25-Sep-18,363.75,360.25,364.25,357.5,187.87K,0.90%
24-Sep-18,360.5,357.25,362,355.75,148.37K,0.91%
23-Sep-18,357.25,357.5,357.5,357,-,0.00%
21-Sep-18,357.25,352.5,357.75,352.25,156.11K,1.35%
20-Sep-18,352.5,345.25,356.25,344.75,266.80K,1.95%
19-Sep-18,345.75,343,346.75,343,151.07K,0.73%
18-Sep-18,343.25,348,348.75,342.5,199.08K,-1.36%
17-Sep-18,348,351,351.75,347.75,145.27K,-0.78%
16-Sep-18,350.75,351,351.5,350.75,-,4.08%
14-Sep-18,337,338.5,338.75,337.5,0.06K,0.22%
13-Sep-18,336.25,344.5,344.5,337,0.13K,-1.54%
12-Sep-18,341.5,354.25,354.5,340.5,0.41K,-3.87%
11-Sep-18,355.25,357.25,357.25,354.75,0.29K,-0.07%
10-Sep-18,355.5,353.25,356,353,1.26K,-2.94%
9-Sep-18,366.25,366.5,366.75,366.25,-,3.39%
7-Sep-18,354.25,352.75,355.75,351,0.69K,0.21%
6-Sep-18,353.5,353.5,354.5,350.75,2.16K,0.50%
5-Sep-18,351.75,356,356,351,3.51K,-0.78%
4-Sep-18,354.5,351.5,355.25,347.25,4.87K,-3.08%
3-Sep-18,365.75,365.25,366,365.25,-,4.20%
31-Aug-18,351,341,352,340.75,17.11K,2.93%
30-Aug-18,341,341.5,344,340.5,122.61K,-0.07%
29-Aug-18,341.25,341,344,340.25,113.20K,0.07%
28-Aug-18,341,345.75,347.75,340.75,143.20K,-1.66%
27-Aug-18,346.75,348.5,348.75,343,139.29K,-0.50%
24-Aug-18,348.5,346.5,350,346.25,124.75K,0.50%
23-Aug-18,346.75,353,355,346.25,144.61K,-1.63%
22-Aug-18,352.5,359.25,359.25,352.25,102.51K,-2.02%
21-Aug-18,359.75,362.75,363.75,358.5,98.59K,-0.62%
20-Aug-18,362,365.25,366,359.5,88.31K,-0.62%
17-Aug-18,364.25,365,367.75,361.75,82.45K,-0.27%
16-Aug-18,365.25,361.5,367.5,360.5,79.36K,1.04%
15-Aug-18,361.5,362.25,363.5,359,102.54K,-0.21%
14-Aug-18,362.25,356.5,363,356.5,101.21K,1.61%
13-Aug-18,356.5,357.5,358,352.25,178.69K,-0.35%
10-Aug-18,357.75,368.5,369.75,357,182.40K,-3.11%
9-Aug-18,369.25,371,372.75,366.5,148.24K,-0.54%
8-Aug-18,371.25,370.5,373.75,370,123.37K,0.13%
7-Aug-18,370.75,371,373.25,368.75,167.09K,-0.07%
6-Aug-18,371,370,371.75,368.25,80.95K,0.34%
3-Aug-18,369.75,366.75,371.25,364.75,77.99K,0.82%
2-Aug-18,366.75,365,372.75,364.75,161.08K,0.48%
1-Aug-18,365,372,373,364,120.05K,-1.95%
31-Jul-18,372.25,367,374.25,366.25,141.81K,1.36%
30-Jul-18,367.25,364,369.25,363.5,127.46K,1.45%
27-Jul-18,362,361,363.75,359.5,133.49K,0.14%
26-Jul-18,361.5,361,365.75,360.25,146.38K,0.63%
25-Jul-18,359.25,352.25,360,352,121.59K,2.06%
24-Jul-18,352,355.25,356.5,351.5,105.61K,-1.47%
23-Jul-18,357.25,356,358.5,354.5,75.40K,0.78%
22-Jul-18,354.5,354.5,354.5,354.5,-,-0.21%
20-Jul-18,355.25,351.25,355.75,349.75,69.61K,1.14%
19-Jul-18,351.25,347,352,345,81.41K,1.15%
18-Jul-18,347.25,346.25,349,346,81.87K,0.29%
17-Jul-18,346.25,345,348.75,344.25,100.12K,1.32%
16-Jul-18,341.75,340,345.75,338.75,95.29K,3.48%
13-Jul-18,330.25,332.25,332.5,332.25,0.27K,-1.86%
12-Jul-18,336.5,332.25,340.75,329.75,0.53K,1.58%
11-Jul-18,331.25,336,337,331.5,1.53K,-2.50%
10-Jul-18,339.75,344.25,344.75,336.25,2.74K,-1.74%
9-Jul-18,345.75,346,348.5,342.5,3.26K,-1.71%
6-Jul-18,351.75,342,352.25,342,3.07K,2.40%
5-Jul-18,343.5,345.5,348.75,341.5,3.30K,0.22%
3-Jul-18,342.75,340.25,345.25,339.25,3.05K,1.56%
2-Jul-18,337.5,352.25,352.25,337,7.67K,-3.64%
29-Jun-18,350.25,345.75,355.5,345.5,19.39K,1.52%
28-Jun-18,345,351.5,352.5,344.5,143.97K,-2.13%
