Date,Close,Open,High,Low,Volume,Percentage_change
27-Jun-18,352.5,352,356.5,351.5,163.32K,0.00%
26-Jun-18,352.5,350.5,355.5,348,227.15K,0.57%
25-Jun-18,350.5,358.5,359.5,349.25,203.16K,-1.89%
22-Jun-18,357.25,358,359.75,355,141.68K,0.07%
21-Jun-18,357,354.25,359,349.25,168.57K,0.78%
20-Jun-18,354.25,354,357,347.5,200.17K,0.14%
19-Jun-18,353.75,355.75,357.75,338.75,334.34K,-0.63%
18-Jun-18,356,359.5,362,354,177.75K,-1.45%
15-Jun-18,361.25,364.5,368.25,355.25,297.48K,-0.48%
14-Jun-18,363,374,374.75,362.5,357.60K,-3.46%
13-Jun-18,376,377.5,379.75,373.25,227.65K,-0.40%
12-Jun-18,377.5,368,379.5,367.25,310.11K,2.79%
11-Jun-18,367.25,376.5,379,366.75,294.91K,-2.78%
8-Jun-18,377.75,376.25,379,373.5,177.41K,0.40%
7-Jun-18,376.25,379,382,374.25,300.59K,-0.53%
6-Jun-18,378.25,384.25,386.5,378,227.30K,-1.43%
5-Jun-18,383.75,380.75,385.25,380,212.44K,0.79%
4-Jun-18,380.75,389.75,389.75,380.5,266.55K,-2.75%
1-Jun-18,391.5,393.75,397,390.75,172.12K,-0.63%
31-May-18,394,393.5,398.5,393.25,195.81K,0.13%
30-May-18,393.5,398.25,398.5,390.75,293.00K,-1.63%
29-May-18,400,408.75,410,397.5,242.71K,-2.14%
28-May-18,408.75,409,409,408.75,-,0.68%
25-May-18,406,404,406.75,403.25,129.41K,0.43%
24-May-18,404.25,408.25,412.25,403.75,236.84K,-1.04%
23-May-18,408.5,404.5,409,403,163.38K,0.93%
22-May-18,404.75,402.25,407,401,166.30K,0.50%
21-May-18,402.75,405.5,407.5,401.25,181.09K,0.25%
20-May-18,401.75,401.75,401.75,401.75,-,-0.19%
18-May-18,402.5,395.25,403.5,395,181.91K,1.83%
17-May-18,395.25,399,402,395,147.54K,-1.00%
16-May-18,399.25,401.75,404.75,398,171.92K,-0.75%
15-May-18,402.25,396.25,402.5,396,190.99K,3.41%
14-May-18,389,388.5,388.75,387.5,0.20K,-0.19%
11-May-18,389.75,394,394.75,389.75,0.50K,-1.27%
10-May-18,394.75,395.5,399.75,393.25,0.60K,0.00%
9-May-18,394.75,396.25,397,394,0.91K,-0.19%
8-May-18,395.5,392.75,396,391.25,2.02K,0.57%
7-May-18,393.25,397.25,397.5,393.25,1.96K,-2.90%
6-May-18,405,405,405,405,-,1.57%
4-May-18,398.75,399.5,400,397.5,2.09K,-0.19%
3-May-18,399.5,396,399.5,395,1.32K,0.88%
2-May-18,396,396.25,397.25,395,3.18K,-0.19%
1-May-18,396.75,393,397,391.5,7.50K,1.08%
30-Apr-18,392.5,390.75,395.75,390.5,19.34K,0.77%
27-Apr-18,389.5,385.25,390.5,385.25,165.58K,0.91%
26-Apr-18,386,386,387,384,132.00K,-0.13%
25-Apr-18,386.5,381,387.25,380.5,148.79K,1.38%
24-Apr-18,381.25,378.5,381.5,377,115.02K,0.73%
23-Apr-18,378.5,376.5,379.25,376.25,151.35K,0.46%
22-Apr-18,376.75,376.75,376.75,376.75,-,0.07%
20-Apr-18,376.5,381.25,381.75,376.25,156.69K,-1.44%
19-Apr-18,382,382.75,383.5,380.75,113.02K,-0.26%
18-Apr-18,383,380.75,383.5,380,142.85K,0.72%
17-Apr-18,380.25,383,384.5,379.75,239.87K,-0.59%
16-Apr-18,382.5,385,386.25,382,175.61K,-0.97%
13-Apr-18,386.25,388.5,389.25,385,233.79K,-0.64%
12-Apr-18,388.75,386.5,389.25,385,201.80K,0.45%
11-Apr-18,387,389.25,390.5,385.75,158.05K,-0.58%
10-Apr-18,389.25,390,392.25,388.5,272.80K,-0.38%
9-Apr-18,390.75,389.75,392.5,388.75,215.39K,0.58%
6-Apr-18,388.5,382,390,382,309.02K,-0.26%
5-Apr-18,389.5,382,389.5,380.75,263.91K,2.23%
4-Apr-18,381,388,389,372,367.00K,-1.93%
3-Apr-18,388.5,387,392,386.75,211.50K,0.32%
2-Apr-18,387.25,389.25,392.5,387,207.53K,-0.13%
29-Mar-18,387.75,373.75,389.25,373.75,377.91K,3.82%
28-Mar-18,373.5,374.25,375,372,173.54K,-0.13%
27-Mar-18,374,374,376,372.25,134.33K,0.00%
26-Mar-18,374,378.5,380.75,373.5,183.53K,-0.86%
23-Mar-18,377.25,376.25,378.25,369.25,279.20K,0.33%
22-Mar-18,376,375.5,377.5,374,161.68K,0.27%
21-Mar-18,375,375,375.75,373.75,149.27K,0.13%
20-Mar-18,374.5,375.25,377,373.25,204.62K,-0.13%
19-Mar-18,375,382,382,374.75,245.78K,-2.02%
16-Mar-18,382.75,386.25,387.5,382.5,150.93K,-1.03%
15-Mar-18,386.75,388.25,390.75,385.5,182.45K,0.85%
14-Mar-18,383.5,386.5,386.5,384.25,0.24K,-0.52%
13-Mar-18,385.5,383.75,388.75,383.5,2.04K,0.33%
12-Mar-18,384.25,382.75,384.25,380.5,1.46K,0.33%
9-Mar-18,383,385,385.25,382.5,2.98K,-0.71%
8-Mar-18,385.75,378.5,385.75,378,2.39K,1.71%
7-Mar-18,379.25,378.75,380.75,378.5,4.26K,-0.13%
6-Mar-18,379.75,377.75,380.25,377.25,2.30K,0.40%
5-Mar-18,378.25,376.25,378.5,374.75,8.18K,0.27%
2-Mar-18,377.25,377.75,380.25,376,5.92K,-0.40%
